연번,읍면동,경로당 명,소재지,새주소,건물구조,계,남,여,"경로당
면적
(㎡)","건축년도
(준공일)"
367,태장동,구룡 경로당,태장동 548 정암A,"흥양로 98(태장동, 정암A)",철근콘크리트,37,13,24,99,1987-12-28
368,태장동,우성1차A 경로당,태장동 2210 우성1차A,"적동1길 11(태장동, 우성1차A)",철근콘크리트,39,13,26,161,1989-06-16
369,태장동,우성2차A 경로당,태장동 1266-6 우성2차A,"현충로 304-1(태장동, 우성2차A)",철근콘크리트,44,10,34,111.26,1993-10-06
370,태장동,북원장수 경로당,태장동 산59-1,현충로 280-6(태장동),변색벽돌/스라브,30,15,15,85.81,1988-02-27
371,태장동,불로 경로당,태장동 971-18 상록A,"현충로 234(태장동, 상록프라자A)",철근콘크리트,25,10,15,52,1992-04-28
372,태장동,영진2차A 경로당,태장동 891-1 영진2차A,"현충로 157(태장동, 영진2차A)",철근콘크리트,38,10,28,89,1992-05-26
373,태장동,대흥2차A 경로당,태장동 1040-8 대흥2차A,"흥양로 30(태장동, 대흥2차A)",철근콘크리트,44,11,33,119,1996-05-22
374,태장동,백운2차A 경로당,태장동 2252 백운2차A,"적동1길 31(태장동, 백운2차A)",철근콘크리트,40,16,24,52,1995-03-02
375,태장동,백운3차A 경로당,태장동 1836 백운3차A,"북원로 2680(태장동, 백운3차A)",철근콘크리트,40,8,32,164.38,2000-09-23
376,태장동,주공1차A 경로당,태장동 2705 주공1차A,"흥양로51번길 22(태장동, 태장주공1차A)",철근콘크리트,16,7,9,69,1998-01-15
377,태장동,주공2차A 경로당,태장동 2708 주공2차A,"흥양로51번길 18(태장동, 태장주공2차A)",철근콘크리트,22,8,14,128,1998-01-15
378,태장동,주공3차A 경로당,태장동 2708 주공3차A,"흥양로51번길 16(태장동, 태장주공3차A)",철근콘크리트,41,15,26,69,1998-01-15
379,태장동,주공4차A 경로당,태장동 2719-1 주공4차A,"흥양로51번길 20(태장동, 태장주공4차A)",철근콘크리트,28,7,21,90.87,2008-05-06
380,태장동,삼정백조A 경로당,태장동 551 삼정백조A,"흥양로102번길 20(태장동, 삼정백조A)",철근콘크리트,23,3,20,123,1997-10-09
381,태장동,금광포란재A 경로당,태장동 580 금광포란재A,"포란재로 36(태장동, 금광포란재A)",철근콘크리트,14,3,11,138.2,2006-02-20
382,태장동,두진백로A 경로당,태장동 546 두진백로A,"흥양로 64(태장동, 두신백로A)",철근콘크리트,35,3,32,79,1999-08-02
383,태장동,요진보네르카운티2차A 경로당,태장동 2717 ,"현충로 295(태장동, 요진보네르카운티2차A)",철근콘크리트,14,3,11,84.18,2007-09-07
384,태장동,신촌 경로당,태장동 2129,신촌길 21-3(태장동),세면벽돌,58,33,25,79.7,1978-12-16
385,태장동,거릿대 경로당,태장동 436-1,흥양로51번길 69-1(태장동),철근콘크리트구조,51,27,24,99.27,2012-09-03
386,태장동,절골 경로당,태장동 1498,적동2길 25-9(태장동),철근콘크리트조,57,31,26,90.54,2015-07-21
