,식당명,GRID_X,GRID_Y
622,초밥집,398496,524605
623,치엘로,396008,526505
624,프롬그라운드,394483,529767
625,들꽃가든,386187,533812
626,산해진미,384174,523292
627,댓기리포차,384168,523302
628,고고싱떡볶이,396476,524641
629,어랑회송어,394543,529348
630,피치버스 단계점,394173,527534
631,본섬조개마을 봉화산점,393626,527441
632,꼬꼬네치킨,377967,511853
633,족발반점,393607,527601
634,회산막국수,393085,528700
635,더밥상,393618,527455
636,풍년닭도리탕,394024,525587
637,모란묵은지 쫄대기전골,383789,522439
638,쭈꾸미가,394135,527468
639,피자마을,396878,523919
640,장터국밥,396103,527517
641,산마을,392951,519671
642,심마니능이백숙,385963,534049
643,김밥친구네,396624,526354
644,바다애참치,394101,525664
645,강촌돌솥쌈밥,395379,525383
646,춘천호반닭갈비,393770,526262
647,도누팜,394036,527452
648,산림조합로컬식당,398190,527917
649,나연이네포차,398512,524723
650,연경,394085,527462
651,더클래식N,393718,527211
652,카페엘리스,399101,525011
653,밥FULL 원주흥업점,393144,522281
654,아미쿠스,396194,524016
655,놀부부대찌개 원주혁신점,398662,524870
656,베이와빈 무실점,394116,525681
657,또래오래 태장점,395510,531343
658,조코만삼겹떡볶이 원주직영점,394302,526331
659,인생막창태장점,395665,531130
660,카페어니스트,393891,526130
661,참 명가족발,395208,526362
662,밥먹자,394470,529568
663,마왕족발 원주기업도시점,388941,531119
664,Tueio 뚜에이오시청점,393722,526220
665,봉화산숯불풍천장어,393762,527403
666,촌놈참숯갈비,397215,526705
667,코리엔탈깻잎두마리치킨 흥업점,393055,522252
668,치악산송어회 본점,400942,529354
669,동네맥주,397219,526684
670,팔선,394106,525615
671,커피더판다 관설본점,396632,523680
672,미림족발보쌈본점,393385,525626
673,해송해물탕,394255,522370
674,허선웅닭갈비단구점,395675,524382
675,무실동나주곰탕막국수,394220,526062
676,동대문엽기떡볶이 원주중앙점,395901,527387
677,COFFEEVIEW,396878,523826
678,정심순대국,395206,524628
679,마이테라스 행구점,397759,526638
680,카페로빈,393615,526308
681,박가네가정식백반,395670,531534
682,마당촌,394216,526126
683,안채,395121,528484
684,매지리막국수,396811,524045
685,553,401647,527323
686,모래내순대,394310,526167
687,싱글포차,396790,524294
688,사오정피자치긴,394826,528782
689,신월동교토참치,393816,527320
690,박가네민물매운탕,385437,525865
691,흑돼지마을,393374,525614
692,포대인대구막창단계택지점,393982,527336
693,피자나라치킨공주 원주무실점,394206,526075
694,먹자삼겹살,396330,527368
695,착한소샤브샤브,386548,524975
696,호수꼬치 원주무실점,393769,526214
697,영빈식당,396001,525619
698,빛고을손칼국수,395270,525759
699,제이제이웨스턴바,393627,527556
700,아궁이포장마차,395305,525244
701,김가네식당,390264,525653
702,아일랜드 카페,399554,526799
703,맵스불닭앤닭발명륜점,395191,525113
704,이모네맛집,387114,526480
705,구이구이,399179,531551
706,엄마의밥상,395322,524315
707,까페봄마중길,398474,524890
708,이베리코,395980,525559
709,남도꼬막앤한우명가,393378,526559
710,뱃노리 횟집,398729,524943
711,혁이정육식당,395084,525003
712,시레기순대국,395588,527368
713,혁신숯불구이,399262,525083
714,영짬뽕,382948,534265
715,레옹,399083,525037
716,배부장찌개 원주혁신도시점,398481,524799
717,미아리우동집 단계점,394189,527081
718,장수면가,395174,527789
719,정가네오리와도야지,393860,526260
720,로체,395924,531305
721,진땡이 한우 곱창 막창 원주기업도시점,389408,530214
722,비엔나커피하우스 무실단구점,396397,524619
723,산아래식당,405257,536262
724,마이테라스,393665,527791
